                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.62035,                 3.1527,                 1.0946,                0.00382,                      1,                0.17852,                0.12211,                0.25095,                 3.3413,                0.86421,              2.222e-05,              2.222e-05,              2.222e-05
                      1,                0.68026,                 3.1319,                 1.1575,                0.00381,                      1,                 0.2097,                0.18808,                0.21201,                  3.329,                0.85373,                5.5e-05,                5.5e-05,                5.5e-05
                      2,                0.50552,                 2.9929,                 1.0253,                0.00371,                      1,                0.24278,                0.22883,                 0.2495,                 3.3203,                0.84187,              8.712e-05,              8.712e-05,              8.712e-05
                      3,                0.47459,                 2.8469,                 1.0284,                0.00358,                      1,                0.27399,                0.25524,                0.29477,                 3.2867,                0.87682,             0.00011858,             0.00011858,             0.00011858
                      4,                0.54808,                 2.7293,                 1.0514,                0.00356,                      1,                0.25947,                0.24773,                  0.262,                 3.2061,                0.89255,             0.00014938,             0.00014938,             0.00014938
                      5,                0.51685,                 2.6259,                 1.0761,                0.00364,                      1,                0.26116,                0.24845,                0.25887,                  3.129,                0.91791,             0.00017952,             0.00017952,             0.00017952
                      6,                0.48501,                  2.425,                 1.0343,                0.00397,                      1,                0.26651,                0.25399,                0.26668,                 3.0213,                0.93018,               0.000209,               0.000209,               0.000209
                      7,                0.49006,                 2.4845,                 1.0143,                0.00438,                      1,                0.25556,                0.24329,                0.28349,                 2.9733,                0.93783,             0.00023782,             0.00023782,             0.00023782
                      8,                0.54044,                 2.3251,                 1.0515,                0.90791,                0.08275,                0.27723,                 0.2658,                0.27656,                 2.8821,                0.91374,             0.00026598,             0.00026598,             0.00026598
                      9,                0.47623,                 2.2913,                 1.0349,                0.20449,                0.94286,                0.30481,                0.29121,                0.30145,                  2.908,                0.93655,             0.00029348,             0.00029348,             0.00029348
                     10,                0.58297,                 2.2613,                 1.0767,                0.53578,                0.16385,                0.31444,                0.29631,                0.39648,                 2.9049,                0.96931,             0.00032032,             0.00032032,             0.00032032
                     11,                0.57202,                 2.1884,                 1.0573,                 0.5254,                0.09412,                0.31296,                0.29532,                0.42763,                 2.8151,                0.99029,              0.0003465,              0.0003465,              0.0003465
                     12,                0.50575,                 2.2354,                 1.0822,                0.34712,                0.40994,                0.30573,                 0.2862,                0.43209,                  2.403,                0.96616,             0.00037203,             0.00037203,             0.00037203
                     13,                0.61777,                 2.1026,                 1.1087,                 0.3655,                 0.6279,                0.30943,                0.28786,                0.44917,                 2.2964,                 0.9506,             0.00039689,             0.00039689,             0.00039689
                     14,                0.58969,                 1.9921,                 1.0838,                0.25012,                0.95844,                0.33864,                 0.3098,                0.43497,                 2.1157,                 0.9304,             0.00042109,             0.00042109,             0.00042109
                     15,                0.55721,                 1.9861,                 1.0752,                0.24085,                0.97143,                0.38008,                0.34706,                0.41598,                 2.0369,                0.91964,             0.00044463,             0.00044463,             0.00044463
                     16,                0.63118,                 1.9825,                 1.1201,                0.44989,                0.60316,                0.43381,                 0.3971,                0.39235,                 1.9092,                 0.9077,             0.00046751,             0.00046751,             0.00046751
                     17,                0.56342,                 1.9024,                 1.0342,                0.45383,                0.60889,                  0.474,                0.43913,                0.38224,                 1.8983,                0.90322,             0.00048973,             0.00048973,             0.00048973
                     18,                0.65218,                 1.8223,                  1.165,                0.41378,                0.71556,                0.48069,                0.44481,                0.37853,                 1.9165,                0.90464,             0.00051129,             0.00051129,             0.00051129
                     19,                0.56606,                 1.8048,                 1.0799,                0.42796,                0.71111,                 0.5088,                0.46404,                0.38687,                 1.9867,                0.91447,             0.00053219,             0.00053219,             0.00053219
                     20,                 0.6354,                 1.8534,                 1.1285,                0.41979,                0.64444,                0.50223,                0.45484,                0.35629,                  2.323,                0.90239,             0.00055243,             0.00055243,             0.00055243
                     21,                0.51592,                 1.6836,                 1.0323,                0.31615,                0.67179,                0.52173,                0.47635,                0.33506,                 2.8025,                0.89286,             0.00057202,             0.00057202,             0.00057202
                     22,                0.52055,                 1.7172,                 1.0196,                0.32321,                0.70159,                0.50104,                0.45178,                0.37291,                 3.1199,                0.90335,             0.00059094,             0.00059094,             0.00059094
                     23,                0.59032,                 1.7067,                 1.0837,                0.27048,                0.70159,                0.47331,                0.41186,                0.42444,                 4.1605,                0.93903,              0.0006092,              0.0006092,              0.0006092
                     24,                0.57098,                 1.6964,                 1.0513,                0.26196,                0.73238,                 0.3919,                0.32181,                0.53281,                 8.0866,                 1.0537,              0.0006268,              0.0006268,              0.0006268
                     25,                0.56654,                 1.5389,                 1.0305,                0.23071,                0.86085,                0.35644,                0.29409,                0.66184,                 12.926,                 1.1291,             0.00064374,             0.00064374,             0.00064374
                     26,                0.59413,                 1.5922,                 1.1046,                0.23746,                0.86667,                0.41428,                0.33358,                0.75346,                 16.851,                 1.1756,             0.00066002,             0.00066002,             0.00066002
                     27,                0.57438,                 1.5221,                 1.1123,                0.26849,                0.82146,                0.44853,                0.38856,                0.71539,                 16.425,                 1.1585,             0.00067564,             0.00067564,             0.00067564
                     28,                0.58019,                 1.5702,                 1.0644,                0.26849,                0.82146,                0.44853,                0.38856,                0.71539,                 16.425,                 1.1585,             0.00069061,             0.00069061,             0.00069061
                     29,                0.61815,                 1.5783,                 1.0787,                0.28654,                0.83556,                0.48967,                0.40351,                0.69591,                 10.167,                 1.1131,             0.00070491,             0.00070491,             0.00070491
                     30,                0.57284,                 1.5686,                 1.0424,                0.33832,                0.73425,                0.51954,                 0.4334,                0.58908,                 6.8204,                 1.0183,             0.00071855,             0.00071855,             0.00071855
                     31,                0.58948,                 1.5856,                 1.0889,                0.31925,                0.68419,                0.53202,                0.46078,                0.53113,                 5.6536,                 1.0057,             0.00073153,             0.00073153,             0.00073153
                     32,                0.58921,                 1.5377,                 1.0569,                0.31925,                0.68419,                0.53202,                0.46078,                0.53113,                 5.6536,                 1.0057,             0.00074385,             0.00074385,             0.00074385
                     33,                0.65933,                 1.5558,                 1.1009,                0.36058,                0.61808,                0.51341,                0.43468,                0.56672,                 6.1949,                 1.0387,             0.00074804,             0.00074804,             0.00074804
                     34,                0.59421,                 1.5504,                 1.0432,                0.40406,                0.62984,                0.42349,                0.35154,                0.63001,                 6.1858,                 1.1013,             0.00074804,             0.00074804,             0.00074804
                     35,                0.69778,                 1.5398,                 1.1191,                0.31772,                0.70171,                0.43927,                0.36961,                0.58611,                 5.0957,                 1.0622,             0.00073704,             0.00073704,             0.00073704
                     36,                0.69505,                 1.6074,                 1.1388,                0.31772,                0.70171,                0.43927,                0.36961,                0.58611,                 5.0957,                 1.0622,             0.00072604,             0.00072604,             0.00072604
                     37,                0.64416,                 1.4534,                 1.1197,                0.36877,                0.66698,                0.56952,                 0.4908,                0.48641,                 2.4285,                0.98782,             0.00071504,             0.00071504,             0.00071504
                     38,                0.58551,                 1.5607,                 1.0826,                0.39792,                0.75352,                0.61356,                0.54524,                0.49378,                  1.894,                0.98185,             0.00070404,             0.00070404,             0.00070404
                     39,                0.68979,                 1.5424,                 1.0955,                 0.6329,                0.72063,                 0.6809,                0.59807,                0.55712,                 1.7813,                 1.0082,             0.00069304,             0.00069304,             0.00069304
                     40,                0.62301,                 1.4607,                 1.0761,                 0.6329,                0.72063,                 0.6809,                0.59807,                0.55712,                 1.7813,                 1.0082,             0.00068204,             0.00068204,             0.00068204
                     41,                0.57844,                 1.4767,                 1.0318,                0.62266,                0.74921,                 0.6959,                0.60046,                 0.6235,                 1.9005,                  1.029,             0.00067104,             0.00067104,             0.00067104
                     42,                0.58577,                 1.4689,                 1.0269,                0.57473,                0.77852,                0.62794,                0.51377,                0.60953,                 2.1339,                 1.0147,             0.00066005,             0.00066005,             0.00066005
                     43,                0.62247,                 1.3517,                 1.0841,                0.38583,                0.90991,                0.64501,                0.52472,                0.55429,                 2.0566,                0.98641,             0.00064905,             0.00064905,             0.00064905
                     44,                0.54654,                 1.3906,                 1.0313,                0.38583,                0.90991,                0.64501,                0.52472,                0.55429,                 2.0566,                0.98641,             0.00063805,             0.00063805,             0.00063805
                     45,                0.66664,                 1.4159,                 1.1902,                0.41627,                0.87503,                0.64457,                0.53378,                0.54159,                 2.1162,                0.99052,             0.00062705,             0.00062705,             0.00062705
