                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.59034,                 3.2427,                0.92078,                 0.0179,                0.86301,                0.03904,                0.02701,                0.36251,                 3.1484,                0.85211,                      0,                      0,                      0
                      1,                0.64921,                 3.4198,                0.91565,                0.01827,                0.87671,                0.04272,                0.03095,                 0.3231,                 3.1391,                0.84378,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      2,                0.64514,                 3.3816,                0.90342,                0.01929,                0.90411,                0.04893,                 0.0377,                0.27132,                 3.1237,                0.83338,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      3,                0.55126,                 3.3691,                0.91802,                0.02021,                0.91781,                0.05852,                0.04631,                 0.2718,                 3.1047,                0.82345,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      4,                0.49213,                 3.1519,                0.90938,                0.02108,                0.93151,                0.07711,                0.05834,                0.34117,                 3.0943,                0.81963,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      5,                0.51961,                 2.9222,                0.88064,                0.02185,                0.93151,                0.09307,                0.07352,                0.38318,                 3.0672,                0.81333,               9.01e-05,               9.01e-05,               9.01e-05
                      6,                0.46643,                  2.779,                0.83921,                0.02273,                0.93151,                0.09764,                0.07672,                0.40035,                 3.0476,                0.81008,             0.00010574,             0.00010574,             0.00010574
                      7,                 0.5222,                 2.8195,                0.82271,                0.02352,                0.93151,                0.09468,                0.07995,                0.38924,                 3.0132,                0.80485,              0.0001206,              0.0001206,              0.0001206
                      8,                0.57584,                 2.5115,                0.88641,                0.02448,                0.94521,                0.11383,                 0.0934,                0.33855,                 2.9655,                0.79794,             0.00013466,             0.00013466,             0.00013466
                      9,                0.52204,                 2.2828,                0.84861,                0.02502,                0.94521,                 0.1276,                0.10046,                 0.2898,                   2.93,                0.79279,             0.00014792,             0.00014792,             0.00014792
                     10,                0.46073,                 1.9991,                0.86896,                 0.0254,                0.94521,                0.13052,                0.11184,                0.28888,                 2.8914,                0.78701,              0.0001604,              0.0001604,              0.0001604
                     11,                0.46478,                 1.7574,                0.83655,                0.02479,                0.94521,                0.14123,                0.12368,                0.30983,                  2.844,                0.78611,             0.00017208,             0.00017208,             0.00017208
                     12,                 0.4568,                 1.5461,                0.86283,                 0.0244,                0.94521,                 0.1891,                0.14284,                0.35896,                 2.7901,                0.78831,             0.00018298,             0.00018298,             0.00018298
                     13,                0.44504,                 1.1952,                0.82981,                0.02368,                0.94521,                0.29605,                0.23915,                0.41423,                 2.7246,                0.79248,             0.00019308,             0.00019308,             0.00019308
                     14,                 0.4647,                 0.9404,                0.82169,                0.02391,                 0.9726,                0.60291,                0.48814,                0.42879,                 2.6455,                0.79456,             0.00020238,             0.00020238,             0.00020238
                     15,                0.49369,                 1.0009,                0.85704,                 0.0242,                      1,                0.78178,                0.70238,                0.40516,                 2.5645,                0.79372,              0.0002109,              0.0002109,              0.0002109
                     16,                0.52895,                0.77398,                0.87877,                0.02404,                      1,                0.83078,                0.77324,                 0.3678,                 2.4831,                0.78993,             0.00021862,             0.00021862,             0.00021862
                     17,                0.47778,                 0.7957,                0.84731,                0.02404,                      1,                0.83078,                0.77324,                 0.3678,                 2.4831,                0.78993,             0.00022556,             0.00022556,             0.00022556
                     18,                 0.4826,                0.76155,                0.80969,                 0.1135,                0.88919,                0.84771,                0.79495,                0.34996,                 2.4053,                 0.7875,              0.0002317,              0.0002317,              0.0002317
                     19,                0.44655,                0.69495,                  0.842,                 0.1135,                0.88919,                0.84771,                0.79495,                0.34996,                 2.4053,                 0.7875,             0.00023704,             0.00023704,             0.00023704
                     20,                0.48211,                0.74703,                0.82666,                      1,                0.70165,                0.84654,                0.79575,                0.36758,                 2.3201,                0.78822,              0.0002416,              0.0002416,              0.0002416
                     21,                0.44678,                0.68708,                0.82929,                      1,                0.70165,                0.84654,                0.79575,                0.36758,                 2.3201,                0.78822,             0.00024536,             0.00024536,             0.00024536
                     22,                0.45181,                0.63713,                 0.8131,                      1,                0.46095,                0.83882,                0.78009,                0.39552,                 2.2505,                0.78637,             0.00024834,             0.00024834,             0.00024834
                     23,                0.42697,                0.65174,                0.82539,                      1,                0.46095,                0.83882,                0.78009,                0.39552,                 2.2505,                0.78637,             0.00025052,             0.00025052,             0.00025052
                     24,                0.42147,                0.69776,                0.84227,                      1,                0.49515,                0.83188,                0.76622,                0.42786,                 2.1876,                0.78786,              0.0002519,              0.0002519,              0.0002519
                     25,                0.44898,                0.62556,                0.85197,                      1,                0.49515,                0.83188,                0.76622,                0.42786,                 2.1876,                0.78786,              0.0002525,              0.0002525,              0.0002525
                     26,                0.51333,                0.62028,                0.84239,                      1,                0.61888,                0.83423,                0.76933,                0.41784,                 2.0943,                 0.7895,              0.0002523,              0.0002523,              0.0002523
                     27,                0.51505,                0.65067,                0.82974,                      1,                0.61888,                0.83423,                0.76933,                0.41784,                 2.0943,                 0.7895,             0.00025132,             0.00025132,             0.00025132
                     28,                 0.4519,                0.59308,                0.86295,                      1,                0.65802,                0.84585,                0.79752,                 0.4046,                 1.9897,                0.78884,             0.00024954,             0.00024954,             0.00024954
                     29,                0.45415,                0.59242,                0.81547,                      1,                0.65802,                0.84585,                0.79752,                 0.4046,                 1.9897,                0.78884,             0.00024696,             0.00024696,             0.00024696
                     30,                 0.4021,                0.58028,                0.81653,                      1,                0.68711,                0.87143,                0.82847,                0.37506,                 1.8506,                0.78629,              0.0002436,              0.0002436,              0.0002436
                     31,                0.44676,                0.57983,                0.83585,                      1,                0.68711,                0.87143,                0.82847,                0.37506,                 1.8506,                0.78629,             0.00023944,             0.00023944,             0.00023944
                     32,                0.44321,                0.56334,                0.82342,                      1,                0.70596,                0.88734,                0.86092,                 0.3483,                  1.718,                0.78487,              0.0002345,              0.0002345,              0.0002345
                     33,                0.42746,                0.58077,                 0.8527,                      1,                0.70596,                0.88734,                0.86092,                 0.3483,                  1.718,                0.78487,             0.00022876,             0.00022876,             0.00022876
                     34,                0.42442,                0.57509,                0.83369,                      1,                0.75025,                0.90951,                0.88384,                0.32889,                 1.6177,                0.78288,             0.00022222,             0.00022222,             0.00022222
                     35,                0.42108,                0.60403,                0.85007,                      1,                0.75025,                0.90951,                0.88384,                0.32889,                 1.6177,                0.78288,              0.0002149,              0.0002149,              0.0002149
                     36,                0.40871,                0.55875,                0.81919,                      1,                0.76534,                0.92603,                0.90422,                0.31274,                 1.5401,                0.78167,             0.00020678,             0.00020678,             0.00020678
                     37,                0.40906,                0.55867,                 0.8064,                      1,                0.76534,                0.92603,                0.90422,                0.31274,                 1.5401,                0.78167,             0.00019788,             0.00019788,             0.00019788
                     38,                0.41119,                0.59349,                0.82941,                      1,                0.78424,                0.93984,                0.90171,                0.31214,                 1.4639,                0.78239,             0.00018818,             0.00018818,             0.00018818
                     39,                0.38508,                0.55195,                0.82168,                      1,                0.78424,                0.93984,                0.90171,                0.31214,                 1.4639,                0.78239,             0.00017768,             0.00017768,             0.00017768
                     40,                0.32965,                0.52198,                0.78118,                      1,                0.84228,                0.94442,                  0.911,                0.31018,                 1.4035,                0.78094,              0.0001664,              0.0001664,              0.0001664
                     41,                 0.3351,                0.51561,                0.80584,                      1,                0.84228,                0.94442,                  0.911,                0.31018,                 1.4035,                0.78094,             0.00015432,             0.00015432,             0.00015432
